split,speaker_id,sentence_id,text,duration,throat_path,acoustic_path
train,p01,u00,충남 예선군이 이달부터 이천 이십 이 년 찾아가는 어린이 생활안전 교육을 실시하고 있다,6.028500080108643,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u00.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u00.wav
train,p01,u01,이번 교육은 안전문화운동의 일환으로 생활 속 안전문화의식 확산을 도모하기 위해 추진되며 관내 어린이집을 방문해 생활안전과 관련한 인형극을 진행한다,11.061249732971191,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u01.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u01.wav
train,p01,u02,군은 지난 일 일 예산공립어린이집을 시작으로 오는 이십 구 일 푸른어린이집까지 관내 어린이집 총 이십 곳을 방문해 어린이를 대상으로 생활안전 교육을 진행한다,11.171875,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u02.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u02.wav
train,p01,u03,주요 내용은 납치 유괴 예방 교통안전 감염병 예방 등 생활 속 발생할 수 있는 안전사고 관련 내용이다,7.653625011444092,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u03.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u03.wav
train,p01,u04,특히 군은 어린이들의 눈높이에 맞춰 흥미를 유발할 수 있는 인형극 공연으로 집중도와 생활안전의 이해도를 높여 교육의 효과를 극대화할 계획이다,11.898249626159668,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u04.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u04.wav
train,p01,u05,아울러 매년 새로운 주제를 선정해 인형극을 통한 어린이 안전교육을 지속 추진할 방침이다,5.963624954223633,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u05.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u05.wav
train,p01,u06,군 관계자는 찾아가는 어린이 생활안전 교육을 통해 어린이들이 안전한 예산군을 만들 수 있도록 최선을 다하겠다고 말했다,7.7663750648498535,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u06.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u06.wav
train,p01,u07,팔 일 코로나 일구 신규 확진자 수가 사만 명대를 기록해 전날보다 소폭 증가했다,5.568749904632568,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u07.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u07.wav
train,p01,u08,중앙방역대책본부에 따르면 이날 영 시 기준으로 신규 확진자는 전날보다 사만 육십 사 명으로 늘어 누적 확진자 수는 총 천 칠백 오십 사만 사천 삼백 구십 팔 명으로 집계됐다,14.994375228881836,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u08.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u08.wav
train,p01,u09,이날 신규 확진자 수는 전날과 비교하면 사백 육십 사 명 일 주 전인 지난 일 일보다 이천 이백 구십 삼 명 각각 늘었다,7.835750102996826,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u09.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u09.wav
train,p01,u10,위중증 환자 수는 사백 이십 삼 명으로 전날보다 네 명 늘었지만 지난달 삼십 일 이후 계속 사백 명대를 유지하고 있다,7.235249996185303,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u10.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u10.wav
train,p01,u11,전국 위중증 병상 가동률은 이날 영 시 기준 이십 점 구 퍼센트로 전날보다 영 점 삼 프로 포인트 증가했다,7.572500228881836,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u11.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u11.wav
train,p01,u12,중증에서 상태가 호전되거나 중증으로 악화될 가능성이 높은 환자를 치료하는 준중증 병상 가동률은 이십 오 점 칠 퍼센트다,7.780875205993652,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u12.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u12.wav
train,p01,u13,입원치료 없이 자택에 머무르는 재택치료자는 이십 오만 이천 삼백 오십 육 명으로 이 가운데 재택치료관리의료기관의 건강관리보기터링을 받는 집중관리구는 일만 구천 삼백 팔십 팔 명이다,11.451749801635742,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u13.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u13.wav
train,p01,u14,전날 사망한 코로나 일구 확진자는 칠십 일 명으로 하루 전보다 열두 명 줄었다,4.666500091552734,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u14.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u14.wav
train,p01,u15,연령대별로는 팔십 세 이상이 사십 이 명으로 가장 많았고 칠십 대 이십 일 명 육십 대 두 명 오십 대 세 명 사십 대 두 명 영 세에서 구 세 한 명이다,9.484125137329102,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u15.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u15.wav
train,p01,u16,전체 누적 사망자는 이만 삼천 삼백 육십 명 코로나 일구 누적 치명률은 영 점 일 삼 퍼센트다,6.623000144958496,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u16.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u16.wav
train,p01,u17,인천 동구가 지역주민 문화생활을 위한 여성회관 프로그램 수강생을 모집한다,5.2164998054504395,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u17.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u17.wav
train,p01,u18,오 일 구에 따르면 오는 십 이 일부터 십 육 일까지 이천 이십 삼년 제 일 기 여성회관 정규강좌 프로그램 수강생을 모집한다,7.479249954223633,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/throat/train/p01_u18.wav,/home/dl-box3/kasuga/bone-conduction-research/scripts/../data/raw/taps/acoustic/train/p01_u18.wav
